============================================================
双均线策略回测报告
============================================================
      总收益率: 11.84%
     年化收益率: 2.26%
      夏普比率: -0.05
      最大回撤: -16.77%
     年化波动率: 14.15%
     总交易次数: 41
        胜率: 35.00%
      初始资金: ¥100,000.00
      最终资金: ¥111,839.71
       净收益: ¥11,839.71

交易记录:
      date type  price  shares     value  commission  slippage
2020-02-25  BUY   4.10   24390  99999.00   29.999700  9.999900
2020-03-17 SELL   3.69   24390  89999.10   26.999730  8.999910
2020-04-17  BUY   3.82   23540  89922.80   26.976840  8.992280
2020-09-11 SELL   4.69   23540 110402.60   33.120780 11.040260
2020-10-16  BUY   4.85   22747 110322.95   33.096885 11.032295
2020-12-22 SELL   5.03   22747 114417.41   34.325223 11.441741
2020-12-23  BUY   5.07   22549 114323.43   34.297029 11.432343
2021-03-03 SELL   5.45   22549 122892.05   36.867615 12.289205
2021-04-27  BUY   5.09   24126 122801.34   36.840402 12.280134
2021-06-21 SELL   5.12   24126 123525.12   37.057536 12.352512
2021-07-23  BUY   5.16   23920 123427.20   37.028160 12.342720
2021-07-26 SELL   4.98   23920 119121.60   35.736480 11.912160
2021-09-10  BUY   5.09   23384 119024.56   35.707368 11.902456
2021-09-28 SELL   4.95   23384 115750.80   34.725240 11.575080
2021-10-14  BUY   4.98   23224 115655.52   34.696656 11.565552
2021-11-05 SELL   4.92   23224 114262.08   34.278624 11.426208
2021-11-24  BUY   5.00   22834 114170.00   34.251000 11.417000
2021-11-29 SELL   4.93   22834 112571.62   33.771486 11.257162
2021-12-03  BUY   4.98   22586 112478.28   33.743484 11.247828
2021-12-29 SELL   4.96   22586 112026.56   33.607968 11.202656
2022-05-27  BUY   4.00   27985 111940.00   33.582000 11.194000
2022-07-20 SELL   4.33   27985 121175.05   36.352515 12.117505
2022-11-15  BUY   3.93   30809 121079.37   36.323811 12.107937
2022-12-29 SELL   3.92   30809 120771.28   36.231384 12.077128
2023-01-09  BUY   4.07   29650 120675.50   36.202650 12.067550
2023-02-17 SELL   4.03   29650 119489.50   35.846850 11.948950
2023-04-04  BUY   4.10   29120 119392.00   35.817600 11.939200
2023-05-04 SELL   4.03   29120 117353.60   35.206080 11.735360
2023-06-21  BUY   3.89   30144 117260.16   35.178048 11.726016
2023-08-18 SELL   3.85   30144 116054.40   34.816320 11.605440
2023-11-16  BUY   3.64   31858 115963.12   34.788936 11.596312
2023-11-27 SELL   3.58   31858 114051.64   34.215492 11.405164
2024-02-22  BUY   3.48   32747 113959.56   34.187868 11.395956
2024-04-09 SELL   3.52   32747 115269.44   34.580832 11.526944
2024-04-29  BUY   3.62   31817 115177.54   34.553262 11.517754
2024-06-05 SELL   3.60   31817 114541.20   34.362360 11.454120
2024-07-19  BUY   3.60   31791 114447.60   34.334280 11.444760
2024-08-01 SELL   3.48   31791 110632.68   33.189804 11.063268
2024-09-27  BUY   3.87   28564 110542.68   33.162804 11.054268
2024-11-26 SELL   3.92   28564 111970.88   33.591264 11.197088
2024-12-23  BUY   4.02   27831 111880.62   33.564186 11.188062
