date,capital,position,price,total_value,daily_return,cummax,drawdown
2020-01-02,100000.0,0,4.15,100000.0,,100000.0,0.0
2020-01-03,100000.0,0,4.14,100000.0,0.0,100000.0,0.0
2020-01-06,100000.0,0,4.12,100000.0,0.0,100000.0,0.0
2020-01-07,100000.0,0,4.16,100000.0,0.0,100000.0,0.0
2020-01-08,100000.0,0,4.11,100000.0,0.0,100000.0,0.0
2020-01-09,100000.0,0,4.16,100000.0,0.0,100000.0,0.0
2020-01-10,100000.0,0,4.16,100000.0,0.0,100000.0,0.0
2020-01-13,100000.0,0,4.2,100000.0,0.0,100000.0,0.0
2020-01-14,100000.0,0,4.18,100000.0,0.0,100000.0,0.0
2020-01-15,100000.0,0,4.15,100000.0,0.0,100000.0,0.0
2020-01-16,100000.0,0,4.15,100000.0,0.0,100000.0,0.0
2020-01-17,100000.0,0,4.15,100000.0,0.0,100000.0,0.0
2020-01-20,100000.0,0,4.18,100000.0,0.0,100000.0,0.0
2020-01-21,100000.0,0,4.11,100000.0,0.0,100000.0,0.0
2020-01-22,100000.0,0,4.12,100000.0,0.0,100000.0,0.0
2020-01-23,100000.0,0,4.0,100000.0,0.0,100000.0,0.0
2020-02-03,100000.0,0,3.66,100000.0,0.0,100000.0,0.0
2020-02-04,100000.0,0,3.77,100000.0,0.0,100000.0,0.0
2020-02-05,100000.0,0,3.81,100000.0,0.0,100000.0,0.0
2020-02-06,100000.0,0,3.9,100000.0,0.0,100000.0,0.0
2020-02-07,100000.0,0,3.89,100000.0,0.0,100000.0,0.0
2020-02-10,100000.0,0,3.9,100000.0,0.0,100000.0,0.0
2020-02-11,100000.0,0,3.94,100000.0,0.0,100000.0,0.0
2020-02-12,100000.0,0,3.97,100000.0,0.0,100000.0,0.0
2020-02-13,100000.0,0,3.95,100000.0,0.0,100000.0,0.0
2020-02-14,100000.0,0,3.98,100000.0,0.0,100000.0,0.0
2020-02-17,100000.0,0,4.06,100000.0,0.0,100000.0,0.0
2020-02-18,100000.0,0,4.04,100000.0,0.0,100000.0,0.0
2020-02-19,100000.0,0,4.04,100000.0,0.0,100000.0,0.0
2020-02-20,100000.0,0,4.13,100000.0,0.0,100000.0,0.0
2020-02-21,100000.0,0,4.15,100000.0,0.0,100000.0,0.0
2020-02-24,100000.0,0,4.11,100000.0,0.0,100000.0,0.0
2020-02-25,-38.9996,24390,4.1,99960.0004,-0.00039999599999995805,100000.0,-0.03999959999999555
2020-02-26,-38.9996,24390,4.07,99228.3004,-0.007319927941897175,100000.0,-0.7716996000000073
2020-02-27,-38.9996,24390,4.07,99228.3004,0.0,100000.0,-0.7716996000000073
2020-02-28,-38.9996,24390,3.93,95813.7004,-0.034411553823207375,100000.0,-4.186299599999998
2020-03-02,-38.9996,24390,4.08,99472.2004,0.03818347464638783,100000.0,-0.5277995999999985
2020-03-03,-38.9996,24390,4.07,99228.3004,-0.0024519413365666765,100000.0,-0.7716996000000073
2020-03-04,-38.9996,24390,4.1,99960.0004,0.007373904390687525,100000.0,-0.03999959999999555
2020-03-05,-38.9996,24390,4.2,102399.0004,0.024399759806323473,102399.0004,0.0
2020-03-06,-38.9996,24390,4.12,100447.8004,-0.01905487350831614,102399.0004,-1.905487350831612
2020-03-09,-38.9996,24390,3.99,97277.1004,-0.03156564889797231,102399.0004,-5.00190429593296
2020-03-10,-38.9996,24390,4.08,99472.2004,0.022565434115262795,102399.0004,-2.8582310262474033
2020-03-11,-38.9996,24390,4.01,97764.9004,-0.017163589355966513,102399.0004,-4.525532458225056
2020-03-12,-38.9996,24390,3.95,96301.5004,-0.014968562275546438,102399.0004,-5.954647971348751
2020-03-13,-38.9996,24390,3.89,94838.1004,-0.015196024920916096,102399.0004,-7.38376348447246
2020-03-16,-38.9996,24390,3.73,90935.7004,-0.041148019451473505,102399.0004,-11.194738186135655
2020-03-17,89924.10076,0,3.69,89924.10076,-0.01112433989676509,102399.0004,-12.1826381031743
2020-03-18,89924.10076,0,3.63,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-19,89924.10076,0,3.6,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-20,89924.10076,0,3.64,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-23,89924.10076,0,3.53,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-24,89924.10076,0,3.61,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-25,89924.10076,0,3.71,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-26,89924.10076,0,3.68,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-27,89924.10076,0,3.7,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-30,89924.10076,0,3.67,89924.10076,0.0,102399.0004,-12.1826381031743
2020-03-31,89924.10076,0,3.67,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-01,89924.10076,0,3.67,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-02,89924.10076,0,3.72,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-03,89924.10076,0,3.7,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-07,89924.10076,0,3.78,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-08,89924.10076,0,3.77,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-09,89924.10076,0,3.78,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-10,89924.10076,0,3.76,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-13,89924.10076,0,3.74,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-14,89924.10076,0,3.81,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-15,89924.10076,0,3.78,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-16,89924.10076,0,3.79,89924.10076,0.0,102399.0004,-12.1826381031743
2020-04-17,-34.66836,23540,3.82,89888.13164,-0.00039999421396486046,102399.0004,-12.217764539818688
2020-04-20,-34.66836,23540,3.84,90358.93164,0.005237621379043933,102399.0004,-11.757994426672164
2020-04-21,-34.66836,23540,3.8,89417.33164,-0.01042066326936475,102399.0004,-12.677534652965225
2020-04-22,-34.66836,23540,3.83,90123.53164,0.007897797742871582,102399.0004,-11.987879483245427
2020-04-23,-34.66836,23540,3.82,89888.13164,-0.0026119704334301996,102399.0004,-12.217764539818688
2020-04-24,-34.66836,23540,3.79,89181.93164,-0.007856432068566344,102399.0004,-12.9074197095385
2020-04-27,-34.66836,23540,3.81,89652.73164,0.0052790962400375285,102399.0004,-12.447649596391965
2020-04-28,-34.66836,23540,3.83,90123.53164,0.005251373732710007,102399.0004,-11.987879483245427
2020-04-29,-34.66836,23540,3.85,90594.33164,0.005223940866860621,102399.0004,-11.52810937009889
2020-04-30,-34.66836,23540,3.91,92006.73164,0.01559037938060559,102399.0004,-10.148799030659292
2020-05-06,-34.66836,23540,3.92,92242.13164,0.002558508446111052,102399.0004,-9.918913974086017
2020-05-07,-34.66836,23540,3.91,92006.73164,-0.0025519791858098495,102399.0004,-10.148799030659292
2020-05-08,-34.66836,23540,3.95,92948.33164,0.010234033784443763,102399.0004,-9.22925880436622
2020-05-11,-34.66836,23540,3.95,92948.33164,0.0,102399.0004,-9.22925880436622
2020-05-12,-34.66836,23540,3.95,92948.33164,0.0,102399.0004,-9.22925880436622
2020-05-13,-34.66836,23540,3.95,92948.33164,0.0,102399.0004,-9.22925880436622
2020-05-14,-34.66836,23540,3.92,92242.13164,-0.007597769508496333,102399.0004,-9.918913974086017
2020-05-15,-34.66836,23540,3.9,91771.33164,-0.005103958371619477,102399.0004,-10.378684087232555
2020-05-18,-34.66836,23540,3.91,92006.73164,0.0025650712024472,102399.0004,-10.148799030659292
2020-05-19,-34.66836,23540,3.94,92712.93164,0.0076755253383327116,102399.0004,-9.459143860939495
2020-05-20,-34.66836,23540,3.93,92477.53164,-0.002539020132747427,102399.0004,-9.689028917512756
2020-05-21,-34.66836,23540,3.9,91771.33164,-0.007636449497258613,102399.0004,-10.378684087232555
2020-05-22,-34.66836,23540,3.82,89888.13164,-0.020520569619577933,102399.0004,-12.217764539818688
2020-05-25,-34.66836,23540,3.82,89888.13164,0.0,102399.0004,-12.217764539818688
2020-05-26,-34.66836,23540,3.86,90829.73164,0.01047524275808831,102399.0004,-11.29822431352563
2020-05-27,-34.66836,23540,3.85,90594.33164,-0.00259166239676889,102399.0004,-11.52810937009889
2020-05-28,-34.66836,23540,3.85,90594.33164,0.0,102399.0004,-11.52810937009889
2020-05-29,-34.66836,23540,3.87,91065.13164,0.005196793126868604,102399.0004,-11.068339256952353
2020-06-01,-34.66836,23540,3.97,93419.13164,0.025849630452475125,102399.0004,-8.769488691219681
2020-06-02,-34.66836,23540,3.98,93654.53164,0.00251982646239024,102399.0004,-8.539603634646422
2020-06-03,-34.66836,23540,3.98,93654.53164,0.0,102399.0004,-8.539603634646422
2020-06-04,-34.66836,23540,3.98,93654.53164,0.0,102399.0004,-8.539603634646422
2020-06-05,-34.66836,23540,4.0,94125.33164,0.0050269857929536865,102399.0004,-8.079833521499884
2020-06-08,-34.66836,23540,4.02,94596.13164,0.005001841606260271,102399.0004,-7.620063408353346
2020-06-09,-34.66836,23540,4.05,95302.33164,0.007465421553257023,102399.0004,-6.930408238633548
2020-06-10,-34.66836,23540,4.04,95066.93164,-0.002470034005980226,102399.0004,-7.160293295206824
2020-06-11,-34.66836,23540,4.0,94125.33164,-0.009904600724525814,102399.0004,-8.079833521499884
2020-06-12,-34.66836,23540,4.01,94360.73164,0.0025009208031301355,102399.0004,-7.849948464926622
