factor_name,2020_ic,ic_ir_2020,2022_ic,ic_ir_2022,2024_ic,ic_ir_2024,avg_ic,direction
mom_5,-0.029536247507240588,-0.1921260225540349,-0.041897503279961945,-0.28887501116974934,-0.004597854647694012,-0.020355955990324075,-0.025343868478298847,negative
mom_10,-0.03422311872080383,-0.22936464903541956,-0.036629703513554206,-0.2556798908253068,-0.028075937468007375,-0.129685932124544,-0.03297625323412181,negative
mom_20,-0.036275939007161494,-0.2555391595977777,-0.04633889331608348,-0.29315030781926615,-0.041260730152831014,-0.18672418152586365,-0.04129185415869199,negative
mom_60,-0.01902675259747136,-0.14324523099438183,-0.05939713268741662,-0.3896108349195945,-0.04209292444059312,-0.2164308664124813,-0.0401722699084937,negative
mom_120,-0.011799323380342149,-0.08372356266824654,-0.0669904584494493,-0.49080025388986326,-0.06740453409631855,-0.3987757944946093,-0.04873143864203666,negative
rsi_6,-0.03397534296152247,-0.22016463535198844,-0.0434196420984816,-0.3012889108751359,-0.030026680688435854,-0.15038170601472675,-0.03580722191614664,negative
rsi_12,-0.037847570110545535,-0.2504596374965555,-0.049113221610092316,-0.32446807519429616,-0.03911659228364648,-0.20099742387538558,-0.04202579466809478,negative
rsi_24,-0.039185789672522696,-0.2753775888205471,-0.05902656433161755,-0.389028518146509,-0.04317487755797262,-0.23450218523170985,-0.04712907718737095,negative
macd_line,-0.03025664888557477,-0.21005572124992047,-0.039007385987394866,-0.24574762938506725,-0.031839241712420294,-0.18659707632360095,-0.03370109219512998,negative
macd_signal,-0.02589991383628303,-0.18743133164042833,-0.03719075863154655,-0.23806411789535986,-0.0287530281469651,-0.16913126499182876,-0.03061456687159823,negative
macd_hist,-0.026398240847126806,-0.189432912056811,-0.020051874230374595,-0.14726991179016827,-0.01896778591068511,-0.11082150686507233,-0.02180596699606217,negative
bb_pct_b,-0.034270844812718984,-0.2325600586761755,-0.03923852246510428,-0.26418128918972666,-0.03589243664670297,-0.18151663919140493,-0.03646726797484207,negative
bb_width,-0.04026018003770061,-0.26403979852369563,-0.049739820172760706,-0.3753442706840557,-0.035570006364096116,-0.1667433343206893,-0.04185666885818581,negative
atr_14,-0.02585064834212698,-0.15250319364400686,-0.05732744741292483,-0.36751347287703634,-0.04172393465572156,-0.23321688685157357,-0.04163401013692445,negative
atr_20,-0.02574307786837655,-0.15220862107393024,-0.05516147291422152,-0.34829891245567746,-0.04109286849620316,-0.22636263490084219,-0.040665806426267076,negative
atr_pct_14,-0.05699115971418587,-0.32992253860408277,-0.069909168004591,-0.4747051097327549,-0.04949814387080013,-0.21535584762487117,-0.058799490529859,negative
adx,-0.015220750067550866,-0.17836748993867524,-0.006692870811591166,-0.0745415920518233,-0.008341733474845426,-0.06667487904951762,-0.010085118117995819,negative
plus_di,-0.032922943132967564,-0.26912881363879254,-0.04625561736739395,-0.36404696765439015,-0.04198154694145345,-0.26797532581822514,-0.04038670248060499,negative
minus_di,0.03200193152901974,0.25267378550534575,0.03559409642693716,0.24626413930206945,0.0281825225900947,0.1502839855162637,0.03192618351535053,positive
di_diff,-0.035969918777629735,-0.27583883436496365,-0.0478863629580392,-0.3323999781911889,-0.043731040029367944,-0.24301002468625213,-0.04252910725501229,negative
cci_14,-0.028312088638237105,-0.191192081250574,-0.03583595540325911,-0.2514574111419698,-0.027749568346968463,-0.13997548387865877,-0.030632537462821557,negative
cci_20,-0.03400805599268276,-0.2300970911063974,-0.03711587146076213,-0.2496971269597197,-0.03635799330851795,-0.18453833272709347,-0.035827306920654285,negative
stoch_k,-0.024758164455542252,-0.17197019004596847,-0.02249784129390855,-0.16318870985698894,-0.015480224634464869,-0.07816336045478281,-0.020912076794638555,negative
stoch_d,-0.023633935306063766,-0.17401311816560774,-0.021230420648211595,-0.15791207809716346,-0.021045256831172792,-0.11039121743844627,-0.02196987092848272,negative
stoch_j,-0.019391645247775584,-0.1369374141287393,-0.019012701039016405,-0.14301625533414616,-0.008883340310070102,-0.04616157678481577,-0.015762562198954028,negative
willr_14,-0.021115252957797544,-0.14503274306268454,-0.024517446019180086,-0.17450891455440018,-0.015042326162301925,-0.07691340151448303,-0.02022500837975985,negative
roc_10,-0.03422311872080383,-0.22936464903541956,-0.036629703513554206,-0.2556798908253068,-0.028075937468007375,-0.129685932124544,-0.03297625323412181,negative
roc_20,-0.036275939007161494,-0.2555391595977777,-0.04633889331608348,-0.29315030781926615,-0.041260730152831014,-0.18672418152586365,-0.04129185415869199,negative
vol_ratio_5_20,-0.044203881726181934,-0.42311900099216126,-0.04121389650640012,-0.39652535294700697,-0.042793795282544136,-0.38466069721055673,-0.04273719117170873,negative
vol_ratio_10_20,-0.03637109016954641,-0.3573435451697441,-0.03820185109334466,-0.36112581205154,-0.04092884373627249,-0.40278791411111703,-0.03850059499972119,negative
vol_chg,-0.019289371967173032,-0.20655259782521315,-0.01824167047982758,-0.22633052379657578,-0.029210521519355916,-0.2926966452900341,-0.02224718798878551,negative
vol_chg_5,-0.038038436140947464,-0.35730394691155215,-0.028767970298883856,-0.3138695725941634,-0.03909603848508689,-0.3803943806884165,-0.035300814974972734,negative
vol_ma_5,-0.045185419105868034,-0.34490730784300316,-0.06543640317412908,-0.6929754905528206,-0.040415975301912994,-0.309882178985683,-0.05034593252730337,negative
vol_ma_10,-0.03952984020498588,-0.29986572302191994,-0.06160648191852208,-0.6247793172782464,-0.037764574962258025,-0.2925355309399601,-0.046300299028588655,negative
vol_ma_20,-0.036297778158523426,-0.2802134414196217,-0.058206067522489226,-0.5700091317826546,-0.035744211218356026,-0.28152830165428294,-0.04341601896645623,negative
obv,-0.02279258575022093,-0.16132565148232966,-0.02266309911097867,-0.26834517524029305,-0.012592507798865539,-0.09357725669903973,-0.019349397553355047,negative
obv_roc_10,-0.01574103232303413,-0.2083626664911516,-0.023062831979437638,-0.31743001535396875,-0.021411809264536587,-0.2370902417640836,-0.020071891189002784,negative
mfi_14,-0.02463254267503901,-0.21151618805047528,-0.03261615410613774,-0.25549985355693483,-0.03458490072105626,-0.23353293631645172,-0.030611199167411004,negative
pv_corr_20,-0.0270748995540265,-0.23836255127588213,-0.04916675745923622,-0.4904095159582831,-0.048703290946577334,-0.44204510438528205,-0.041648315986613345,negative
pv_corr_10,-0.0268557421332134,-0.2720064271294212,-0.047124279736923964,-0.5368289637199422,-0.04570942690616965,-0.4011549178070567,-0.03989648292543567,negative
amihud_20,0.01305943432483733,0.09044524668392498,0.03880073208189781,0.27704819227440314,0.009327438038875051,0.03829660882911083,0.020395868148536733,positive
