symbol,buy_date,sell_date,buy_price,sell_price,shares,gross_pnl,net_pnl,holding_days,is_profitable,sell_reason
601328.SH,2024-03-11,2024-03-18,5.4354,5.2647,1600,-273.12,-287.50,7,False,时间止损 (持有7天不盈利)
688266.SH,2024-04-12,2024-04-17,51.6516,47.7222,100,-392.94,-405.42,5,False,移动止盈 (回撤>5.0%)
300124.SZ,2024-04-19,2024-04-24,59.8798,58.2617,100,-161.81,-174.85,5,False,时间止损 (持有5天不盈利)
600919.SH,2024-04-12,2024-04-26,6.5866,6.3436,1100,-267.22,-280.85,14,False,移动止盈 (回撤>5.0%)
601728.SH,2024-04-11,2024-04-29,5.4154,5.4346,1600,30.64,16.12,18,True,移动止盈 (回撤>5.0%)
601868.SH,2024-04-24,2024-04-30,2.1421,2.1379,2800,-11.98,-25.10,6,False,时间止损 (持有6天不盈利)
600008.SH,2024-04-30,2024-05-07,2.5926,2.5874,2500,-12.95,-26.31,7,False,时间止损 (持有7天不盈利)
000088.SZ,2024-04-24,2024-05-08,4.5045,4.4955,1200,-10.80,-23.61,14,False,时间止损 (持有14天不盈利)
601998.SH,2024-05-07,2024-05-14,6.0761,6.0340,900,-37.90,-50.72,7,False,时间止损 (持有7天不盈利)
688425.SH,2024-05-07,2024-05-15,3.8839,3.8561,1200,-33.29,-45.69,8,False,时间止损 (持有8天不盈利)
601018.SH,2024-05-07,2024-05-16,3.4034,3.3866,1500,-25.18,-37.83,9,False,时间止损 (持有9天不盈利)
600816.SH,2024-05-14,2024-05-20,2.9930,2.9171,1400,-106.27,-118.40,6,False,时间止损 (持有6天不盈利)
300146.SZ,2024-05-13,2024-05-22,15.4054,15.3646,300,-12.23,-24.63,9,False,时间止损 (持有9天不盈利)
000725.SZ,2024-04-22,2024-05-23,4.1441,4.1758,1600,50.69,37.21,31,True,移动止盈 (回撤>5.0%)
000519.SZ,2024-05-14,2024-05-24,13.5135,13.3966,300,-35.07,-47.16,10,False,移动止盈 (回撤>5.0%)
000963.SZ,2024-05-20,2024-05-24,31.3914,29.4006,100,-199.08,-210.61,4,False,移动止盈 (回撤>5.0%)
601901.SH,2024-05-21,2024-05-27,8.4384,8.1818,500,-128.31,-140.44,6,False,时间止损 (持有6天不盈利)
601198.SH,2024-05-21,2024-05-27,8.3383,8.1418,500,-98.24,-110.36,6,False,时间止损 (持有6天不盈利)
000703.SZ,2024-05-21,2024-05-27,7.3373,7.2527,500,-42.29,-54.18,6,False,时间止损 (持有6天不盈利)
002773.SZ,2024-05-28,2024-06-03,21.5715,21.4785,300,-27.91,-41.27,6,False,时间止损 (持有6天不盈利)
002508.SZ,2024-05-29,2024-06-03,23.0831,22.2577,200,-165.07,-177.38,5,False,时间止损 (持有5天不盈利)
600233.SH,2024-05-29,2024-06-03,16.2763,15.5444,300,-219.55,-231.97,5,False,时间止损 (持有5天不盈利)
601818.SH,2024-05-13,2024-06-06,2.7127,2.7073,1600,-8.67,-20.92,24,False,时间止损 (持有24天不盈利)
002120.SZ,2024-06-03,2024-06-11,8.5586,8.3117,700,-172.81,-185.84,8,False,移动止盈 (回撤>5.0%)
601229.SH,2024-06-04,2024-06-11,6.4865,6.3037,900,-164.51,-177.46,7,False,时间止损 (持有7天不盈利)
300498.SZ,2024-06-05,2024-06-11,20.9609,20.5694,200,-78.31,-90.45,6,False,时间止损 (持有6天不盈利)
601009.SH,2024-06-06,2024-06-11,8.7688,8.5215,600,-148.37,-161.03,5,False,时间止损 (持有5天不盈利)
600598.SH,2024-04-29,2024-06-20,12.0120,12.0679,500,27.96,14.82,52,True,移动止盈 (回撤>5.0%)
600115.SH,2024-06-12,2024-06-20,3.9640,3.9361,1700,-47.43,-60.91,8,False,时间止损 (持有8天不盈利)
600161.SH,2024-06-19,2024-06-24,24.7447,24.2158,100,-52.90,-64.16,5,False,时间止损 (持有5天不盈利)
601006.SH,2024-06-19,2024-06-24,6.3764,6.3137,600,-37.61,-49.58,5,False,时间止损 (持有5天不盈利)
600893.SH,2024-06-19,2024-06-24,37.1571,36.2038,100,-95.34,-107.22,5,False,时间止损 (持有5天不盈利)
002736.SZ,2024-06-25,2024-07-01,8.3183,8.2118,600,-63.92,-76.48,6,False,时间止损 (持有6天不盈利)
601607.SH,2024-06-28,2024-07-03,18.2182,18.0020,200,-43.24,-55.12,5,False,时间止损 (持有5天不盈利)
600115.SH,2024-07-01,2024-07-08,4.0440,3.8362,1100,-228.67,-240.86,7,False,时间止损 (持有7天不盈利)
002179.SZ,2024-07-02,2024-07-08,37.4374,34.7952,100,-264.22,-276.03,6,False,时间止损 (持有6天不盈利)
601211.SH,2024-07-03,2024-07-08,13.1131,12.7372,200,-75.17,-86.50,5,False,时间止损 (持有5天不盈利)
300677.SZ,2024-06-18,2024-07-10,25.1952,29.1508,200,791.13,778.11,22,True,目标止盈 (盈利>15.0%)
600406.SH,2024-07-03,2024-07-12,23.6536,23.6164,100,-3.73,-14.96,9,False,时间止损 (持有9天不盈利)
600352.SH,2024-07-10,2024-07-17,8.0380,8.0220,500,-8.03,-20.12,7,False,时间止损 (持有7天不盈利)
601009.SH,2024-07-12,2024-07-22,9.2192,9.1608,400,-23.35,-35.26,10,False,时间止损 (持有10天不盈利)
601997.SH,2024-07-15,2024-07-22,5.0851,4.9251,600,-96.01,-107.54,7,False,时间止损 (持有7天不盈利)
600989.SH,2024-07-16,2024-07-22,16.4264,16.3037,100,-12.27,-23.12,6,False,时间止损 (持有6天不盈利)
601868.SH,2024-07-15,2024-07-23,2.0721,2.0679,1600,-6.62,-18.34,8,False,时间止损 (持有8天不盈利)
000001.SZ,2024-07-11,2024-07-25,9.2893,9.2408,400,-19.41,-31.33,14,False,时间止损 (持有14天不盈利)
000977.SZ,2024-07-15,2024-07-25,37.4774,36.6433,100,-83.41,-95.32,10,False,移动止盈 (回撤>5.0%)
601880.SH,2024-07-22,2024-07-29,1.2312,1.2288,3100,-7.63,-19.61,7,False,时间止损 (持有7天不盈利)
002958.SZ,2024-07-22,2024-07-29,2.5125,2.4376,1300,-97.43,-109.08,7,False,时间止损 (持有7天不盈利)
