trade_date,cash,position_value,total_value,daily_return,position_count,buy_count,sell_count,is_safe_period,forced_empty
2024-01-02,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-03,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-04,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-05,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-08,100000.00,0.00,100000.00,0.000000,0,0,0,False,True
2024-01-09,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-10,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-11,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-12,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-15,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-16,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-17,100000.00,0.00,100000.00,0.000000,0,0,0,False,True
2024-01-18,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-19,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-22,100000.00,0.00,100000.00,0.000000,0,0,0,False,True
2024-01-23,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-24,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-25,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-26,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-29,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-01-30,100000.00,0.00,100000.00,0.000000,0,0,0,False,True
2024-01-31,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-01,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-02,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-05,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-06,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-07,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-08,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-19,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-20,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-21,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-22,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-23,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-26,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-27,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-02-28,100000.00,0.00,100000.00,0.000000,0,0,0,False,True
2024-02-29,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-03-01,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-03-04,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-03-05,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-03-06,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-03-07,100000.00,0.00,100000.00,0.000000,0,0,0,True,False
2024-03-08,90193.11,0.00,90193.11,-0.098069,1,1,0,True,False
2024-03-11,81491.34,0.00,81491.34,-0.096479,1,1,0,True,False
2024-03-12,81491.34,8496.00,89987.34,0.104256,1,0,0,True,False
2024-03-13,81491.34,8464.00,89955.34,-0.000356,1,0,0,True,False
2024-03-14,81491.34,8448.00,89939.34,-0.000178,1,0,0,True,False
2024-03-15,81491.34,8448.00,89939.34,0.000000,1,0,0,True,False
2024-03-18,89905.61,0.00,89905.61,-0.000375,0,0,1,True,False
2024-03-19,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-20,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-21,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-22,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-25,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-26,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-27,89905.61,0.00,89905.61,0.000000,0,0,0,False,True
2024-03-28,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-03-29,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-01,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-02,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-03,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-08,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-09,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-10,89905.61,0.00,89905.61,0.000000,0,0,0,True,False
2024-04-11,81235.86,0.00,81235.86,-0.096432,1,1,0,True,False
2024-04-12,68815.34,8688.00,77503.34,-0.045947,3,2,0,True,False
2024-04-15,68815.34,21396.00,90211.34,0.163967,3,0,0,True,False
2024-04-16,68815.34,21172.00,89987.34,-0.002483,3,0,0,False,True
2024-04-17,73580.13,16716.00,90296.13,0.003431,2,0,1,True,False
2024-04-18,73580.13,16700.00,90280.13,-0.000177,2,0,0,True,False
2024-04-19,67587.09,16687.00,84274.09,-0.066527,3,1,0,True,False
2024-04-22,60951.40,22757.00,83708.40,-0.006713,4,1,0,True,False
2024-04-23,55116.52,29030.00,84146.52,0.005234,5,1,0,True,False
2024-04-24,49521.21,23140.00,72661.21,-0.136492,5,2,1,True,False
2024-04-25,49521.21,34980.00,84501.21,0.162948,5,0,0,True,False
2024-04-26,56490.66,27252.00,83742.66,-0.008977,4,0,1,True,False
2024-04-29,59165.47,18388.00,77553.47,-0.073907,4,1,1,True,False
2024-04-30,58656.88,18341.00,76997.88,-0.007164,4,1,1,True,False
2024-05-06,53255.44,25368.00,78623.44,0.021112,5,1,0,True,False
2024-05-07,44466.29,18603.00,63069.29,-0.197831,6,3,1,True,False
2024-05-08,49853.14,28415.00,78268.14,0.240987,5,0,1,True,False
2024-05-09,49853.14,28604.00,78457.14,0.002415,5,0,0,True,False
2024-05-10,49853.14,28598.00,78451.14,-0.000076,5,0,0,True,False
2024-05-13,40881.10,28685.00,69566.10,-0.113256,7,2,0,True,False
2024-05-14,38049.57,32152.00,70201.57,0.009135,8,2,1,True,False
2024-05-15,42669.58,35245.00,77914.58,0.109869,7,0,1,True,False
2024-05-16,47741.90,29958.00,77699.90,-0.002755,6,0,1,True,False
2024-05-17,47741.90,30379.00,78120.90,0.005418,6,0,0,True,False
2024-05-20,48674.57,26451.00,75125.57,-0.038342,6,1,1,True,False
2024-05-21,36602.40,29448.00,66050.40,-0.120800,9,3,0,True,False
2024-05-22,41204.44,36817.00,78021.44,0.181241,8,0,1,True,False
2024-05-23,47877.34,29634.00,77511.34,-0.006538,7,0,1,False,True
2024-05-24,54822.83,22287.00,77109.83,-0.005180,5,0,2,True,False
2024-05-27,66590.01,10746.00,77336.01,0.002933,2,0,3,True,False
2024-05-28,60113.48,10694.00,70807.48,-0.084418,3,1,0,True,False
2024-05-29,50603.90,17113.00,67716.90,-0.043648,5,2,0,True,False
2024-05-30,50603.90,26480.00,77083.90,0.138326,5,0,0,True,False
2024-05-31,50603.90,26338.00,76941.90,-0.001842,5,0,0,True,False
2024-06-03,60143.35,10579.00,70722.35,-0.080834,3,1,3,True,False
2024-06-04,54300.45,16971.00,71271.45,0.007764,4,1,0,True,False
2024-06-05,50103.22,22360.00,72463.22,0.016722,5,1,0,True,False
2024-06-06,49161.37,21983.00,71144.37,-0.018200,5,1,1,True,False
2024-06-07,49161.37,27495.00,76656.37,0.077476,5,0,0,True,False
2024-06-11,69849.07,6250.00,76099.07,-0.007270,1,0,4,True,False
2024-06-12,63105.27,6210.00,69315.27,-0.089144,2,1,0,True,False
2024-06-13,56944.05,12808.00,69752.05,0.006301,3,1,0,True,False
2024-06-14,51416.48,12890.00,64306.48,-0.078070,3,1,0,True,False
2024-06-17,51416.48,18336.00,69752.48,0.084688,3,0,0,True,False
2024-06-18,46372.40,18395.00,64767.40,-0.071468,4,1,0,True,False
