trade_date,symbol,side,shares,price,amount,commission,slippage,reason
2024-03-08,601328.SH,buy,1800,5.4454,9801.79,5.00,9.80,资金流增强 RS-Pullback
2024-03-11,601328.SH,buy,1600,5.4354,8696.69,5.00,8.70,资金流增强 RS-Pullback
2024-03-18,601328.SH,sell,1600,5.2647,8423.57,5.00,8.42,时间止损 (持有7天不盈利)
2024-04-11,601728.SH,buy,1600,5.4154,8664.66,5.00,8.66,资金流增强 RS-Pullback
2024-04-12,688266.SH,buy,100,51.6516,5165.16,5.00,5.17,资金流增强 RS-Pullback
2024-04-12,600919.SH,buy,1100,6.5866,7245.24,5.00,7.25,资金流增强 RS-Pullback
2024-04-17,688266.SH,sell,100,47.7222,4772.22,5.00,4.77,移动止盈 (回撤>5.0%)
2024-04-19,300124.SZ,buy,100,59.8798,5987.98,5.00,5.99,资金流增强 RS-Pullback
2024-04-22,000725.SZ,buy,1600,4.1441,6630.62,5.00,6.63,资金流增强 RS-Pullback
2024-04-23,000088.SZ,buy,1300,4.4845,5829.82,5.00,5.83,资金流增强 RS-Pullback
2024-04-24,300124.SZ,sell,100,58.2617,5826.17,5.00,5.83,时间止损 (持有5天不盈利)
2024-04-24,601868.SH,buy,2800,2.1421,5997.99,5.00,6.00,资金流增强 RS-Pullback
2024-04-24,000088.SZ,buy,1200,4.5045,5405.40,5.00,5.41,资金流增强 RS-Pullback
2024-04-26,600919.SH,sell,1100,6.3436,6978.01,5.00,6.98,移动止盈 (回撤>5.0%)
2024-04-29,601728.SH,sell,1600,5.4346,8695.30,5.00,8.70,移动止盈 (回撤>5.0%)
2024-04-29,600598.SH,buy,500,12.0120,6006.00,5.00,6.01,资金流增强 RS-Pullback
2024-04-30,601868.SH,sell,2800,2.1379,5986.01,5.00,5.99,时间止损 (持有6天不盈利)
2024-04-30,600008.SH,buy,2500,2.5926,6481.47,5.00,6.48,资金流增强 RS-Pullback
2024-05-06,601998.SH,buy,900,5.9960,5396.39,5.00,5.40,资金流增强 RS-Pullback
2024-05-07,600008.SH,sell,2500,2.5874,6468.52,5.00,6.47,时间止损 (持有7天不盈利)
2024-05-07,601998.SH,buy,900,6.0761,5468.46,5.00,5.47,资金流增强 RS-Pullback
2024-05-07,601018.SH,buy,1500,3.4034,5105.10,5.00,5.11,资金流增强 RS-Pullback
2024-05-07,688425.SH,buy,1200,3.8839,4660.66,5.00,4.66,资金流增强 RS-Pullback
2024-05-08,000088.SZ,sell,1200,4.4955,5394.60,5.00,5.39,时间止损 (持有14天不盈利)
2024-05-13,300146.SZ,buy,300,15.4054,4621.62,5.00,4.62,资金流增强 RS-Pullback
2024-05-13,601818.SH,buy,1600,2.7127,4340.34,5.00,4.34,资金流增强 RS-Pullback
2024-05-14,601998.SH,sell,900,6.0340,5430.56,5.00,5.43,时间止损 (持有7天不盈利)
2024-05-14,000519.SZ,buy,300,13.5135,4054.05,5.00,4.05,资金流增强 RS-Pullback
2024-05-14,600816.SH,buy,1400,2.9930,4190.19,5.00,4.19,资金流增强 RS-Pullback
2024-05-15,688425.SH,sell,1200,3.8561,4627.37,5.00,4.63,时间止损 (持有8天不盈利)
2024-05-16,601018.SH,sell,1500,3.3866,5079.91,5.00,5.08,时间止损 (持有9天不盈利)
2024-05-20,600816.SH,sell,1400,2.9171,4083.91,5.00,4.08,时间止损 (持有6天不盈利)
2024-05-20,000963.SZ,buy,100,31.3914,3139.14,5.00,3.14,资金流增强 RS-Pullback
2024-05-21,601901.SH,buy,500,8.4384,4219.21,5.00,4.22,资金流增强 RS-Pullback
2024-05-21,601198.SH,buy,500,8.3383,4169.16,5.00,4.17,资金流增强 RS-Pullback
2024-05-21,000703.SZ,buy,500,7.3373,3668.66,5.00,3.67,资金流增强 RS-Pullback
2024-05-22,300146.SZ,sell,300,15.3646,4609.39,5.00,4.61,时间止损 (持有9天不盈利)
2024-05-23,000725.SZ,sell,1600,4.1758,6681.31,5.00,6.68,移动止盈 (回撤>5.0%)
2024-05-24,000519.SZ,sell,300,13.3966,4018.98,5.00,4.02,移动止盈 (回撤>5.0%)
2024-05-24,000963.SZ,sell,100,29.4006,2940.06,5.00,2.94,移动止盈 (回撤>5.0%)
2024-05-27,601901.SH,sell,500,8.1818,4090.90,5.00,4.09,时间止损 (持有6天不盈利)
2024-05-27,601198.SH,sell,500,8.1418,4070.92,5.00,4.07,时间止损 (持有6天不盈利)
2024-05-27,000703.SZ,sell,500,7.2527,3626.37,5.00,3.63,时间止损 (持有6天不盈利)
2024-05-28,002773.SZ,buy,300,21.5715,6471.46,5.00,6.47,资金流增强 RS-Pullback
2024-05-29,002508.SZ,buy,200,23.0831,4616.61,5.00,4.62,资金流增强 RS-Pullback
2024-05-29,600233.SH,buy,300,16.2763,4882.88,5.00,4.88,资金流增强 RS-Pullback
2024-06-03,002773.SZ,sell,300,21.4785,6443.55,5.00,6.44,时间止损 (持有6天不盈利)
2024-06-03,002508.SZ,sell,200,22.2577,4451.54,5.00,4.45,时间止损 (持有5天不盈利)
2024-06-03,600233.SH,sell,300,15.5444,4663.33,5.00,4.66,时间止损 (持有5天不盈利)
2024-06-03,002120.SZ,buy,700,8.5586,5990.99,5.00,5.99,资金流增强 RS-Pullback
2024-06-04,601229.SH,buy,900,6.4865,5837.83,5.00,5.84,资金流增强 RS-Pullback
2024-06-05,300498.SZ,buy,200,20.9609,4192.19,5.00,4.19,资金流增强 RS-Pullback
